ListingID,City,PropertyType,BHK,Bathrooms,Balconies,Furnishing,CarpetArea_sqft,Floor,TotalFloors,BuildingType,YearBuilt,AgeYears,Facing,Price_INR
HP01287,Bengaluru,Apartment,3,3,2,Semi-Furnished,1218,0,3,Standalone Building,2018,7,South,15060000
HP01726,Delhi NCR,Apartment,2,2,2,Semi-Furnished,1078,0,3,Standalone Building,2009,16,South-West,12570000
HP01011,Pune,Independent House,3,3,1,Unfurnished,1369,3,3,Standalone Building,2014,11,North-East,17470000
HP00910,Chennai,Villa,4,5,1,Unfurnished,2408,0,3,Bungalow,2006,19,North-West,36280000
HP01536,Chennai,Penthouse,6,7,2,Unfurnished,2301,2,23,High Rise,2008,17,North,36640000
HP00996,Chennai,Apartment,4,5,2,Unfurnished,2187,33,34,High Rise,2012,13,West,26560000
HP01800,Kolkata,Studio,0,2,1,Semi-Furnished,470,22,28,High Rise,2018,7,East,5200000
HP00019,MMR,Apartment,2,3,1,Unfurnished,1199,5,5,Standalone Building,2016,9,North,24740000
HP01072,Hyderabad,Studio,0,2,1,Unfurnished,522,4,22,High Rise,2025,0,North,5010000
HP00334,Delhi NCR,Apartment,3,4,2,Furnished,1353,6,12,Mid Rise,2021,4,North-East,20130000
HP02019,Bengaluru,Apartment,2,2,2,Furnished,1298,19,35,High Rise,2009,16,South,16980000
HP00453,Bengaluru,Penthouse,2,2,1,Semi-Furnished,1226,15,25,High Rise,2014,11,South-West,21350000
HP02333,Ahmedabad,Penthouse,3,4,2,Unfurnished,1300,29,29,High Rise,2009,16,North-East,11990000
HP02311,MMR,Apartment,1,2,2,Unfurnished,634,0,2,Low Rise,2023,2,West,13900000
HP00281,Bengaluru,Apartment,4,4,1,Unfurnished,1745,7,13,High Rise,2013,12,North-West,23370000
HP01876,Hyderabad,Studio,0,2,0,Semi-Furnished,540,18,25,High Rise,2001,24,East,5300000
HP00945,Bengaluru,Independent House,4,4,2,Semi-Furnished,2232,1,4,Standalone Building,2016,9,East,31440000
HP00327,Pune,Apartment,4,5,1,Semi-Furnished,2221,25,38,High Rise,2023,2,North,30800000
HP00155,Delhi NCR,Apartment,4,5,3,Semi-Furnished,2333,1,7,Gated Community,2009,16,North,28950000
HP02011,MMR,Apartment,3,4,1,Unfurnished,1072,2,4,Low Rise,2010,15,North-West,23910000
HP00168,Pune,Row House,2,2,1,Unfurnished,886,0,2,Bungalow,2021,4,South,13780000
HP02302,Pune,Apartment,2,2,2,Furnished,841,12,20,High Rise,2016,9,West,9890000
HP02030,Delhi NCR,Apartment,2,3,1,Semi-Furnished,1298,25,30,High Rise,2024,1,South-West,21460000
HP01691,MMR,Apartment,3,4,1,Furnished,1286,2,9,Mid Rise,2006,19,North,26510000
HP00777,Delhi NCR,Studio,0,2,1,Semi-Furnished,499,1,27,High Rise,2016,9,North,5240000
HP01018,Pune,Apartment,3,4,1,Semi-Furnished,1891,0,2,Low Rise,2007,18,South-East,28740000
HP01317,Bengaluru,Villa,2,3,2,Unfurnished,937,8,8,Gated Community,2007,18,North,12460000
HP01969,Chennai,Apartment,2,3,1,Semi-Furnished,988,7,10,Gated Community,2011,14,South-East,11440000
HP00456,Chennai,Apartment,3,4,2,Unfurnished,1617,2,21,High Rise,2023,2,North-East,22780000
HP01398,Bengaluru,Apartment,3,3,1,Unfurnished,1106,2,17,High Rise,2009,16,South-West,14430000
HP01147,Chennai,Apartment,2,3,1,Unfurnished,1214,6,11,Mid Rise,2004,21,East,12160000
HP02070,Delhi NCR,Apartment,2,2,2,Semi-Furnished,1243,7,12,Mid Rise,2016,9,North,17880000
HP01413,Hyderabad,Apartment,2,3,1,Unfurnished,1270,12,34,High Rise,2025,0,South-East,14350000
HP00836,Delhi NCR,Apartment,2,2,1,Furnished,1054,2,2,Standalone Building,2008,17,East,11860000
HP01637,Bengaluru,Apartment,2,3,2,Unfurnished,752,4,9,Gated Community,2019,6,North-East,10240000
HP01917,Kolkata,Apartment,2,2,1,Unfurnished,752,7,7,Gated Community,2016,9,South-West,8550000
HP01821,Pune,Independent House,4,5,1,Semi-Furnished,2079,8,12,Gated Community,2015,10,North-West,28280000
HP01323,Delhi NCR,Row House,3,3,1,Semi-Furnished,1831,6,7,Gated Community,2009,16,North-East,28260000
HP01998,Chennai,Studio,0,2,1,Semi-Furnished,428,19,25,High Rise,2016,9,South,4880000
HP02207,MMR,Apartment,3,4,2,Unfurnished,1647,22,32,High Rise,2024,1,North,38180000
HP00785,Bengaluru,Apartment,2,3,1,Unfurnished,837,0,2,Standalone Building,2010,15,North-West,10120000
HP00690,Bengaluru,Apartment,3,3,2,Semi-Furnished,1134,32,38,High Rise,2018,7,West,14690000
HP00725,Bengaluru,Row House,3,3,2,Unfurnished,1514,0,3,Bungalow,2004,21,North-East,22140000
HP00612,Ahmedabad,Apartment,2,2,3,Unfurnished,864,15,21,High Rise,2018,7,South,7130000
HP01456,Pune,Apartment,1,2,2,Unfurnished,733,10,11,Gated Community,2007,18,West,7210000
HP01545,MMR,Apartment,2,2,2,Furnished,785,3,10,Gated Community,2016,9,North,18110000
HP01992,Delhi NCR,Apartment,4,5,2,Unfurnished,2100,4,6,Gated Community,2011,14,South,27680000
HP01412,Pune,Studio,0,1,1,Unfurnished,539,13,39,High Rise,2003,22,North,5730000
HP01289,Hyderabad,Apartment,1,2,2,Semi-Furnished,521,5,7,Gated Community,2025,0,East,7120000
HP01521,Bengaluru,Apartment,3,4,2,Semi-Furnished,1314,18,24,High Rise,2008,17,South-East,19190000
HP01534,Ahmedabad,Apartment,3,3,1,Furnished,1407,1,3,Standalone Building,2018,7,West,11040000
HP00152,Kolkata,Apartment,2,2,3,Semi-Furnished,1130,7,10,Mid Rise,2007,18,South,9640000
HP00055,Hyderabad,Penthouse,3,4,1,Semi-Furnished,1869,15,29,High Rise,2023,2,South,26490000
HP01121,Bengaluru,Apartment,2,3,2,Furnished,1115,7,7,Mid Rise,2013,12,North-West,14420000
